标题,导演,评分,出版时间,短句
['小森林 夏秋篇'],森淳一,9.0,2014,那些静得只能听见呼吸的日子里，你明白孤独即生活。
['驯龙高手'],迪恩·德布洛斯,8.8,2010,和谐的生活离不开摸头与被摸头。
['新世界'],朴勋政,8.9,2013,要做就做得狠一点，这样才能活下去。
['请以你的名字呼唤我'],卢卡·瓜达尼诺,8.8,2017,沉醉在电影的情感和视听氛围中无法自拔。
['侧耳倾听'],近藤喜文,8.9,1995,
['怪兽电力公司'],彼特·道格特,8.8,2001,
['傲慢与偏见'],乔·怀特,8.7,2005,爱是摈弃傲慢与偏见之后的曙光。
['教父3'],弗朗西斯·福特·科波拉,9.0,1990,
['玩具总动员3'],李·昂克里奇,8.9,2010,跨度十五年的欢乐与泪水。
['一个叫欧维的男人决定去死'],汉内斯·赫尔姆,8.9,2015,惠及一生的美丽。
['幸福终点站'],史蒂文·斯皮尔伯格,8.8,2004,有时候幸福需要等一等。 
['色，戒'],李安,8.7,2007,假戏真情，爱欲深海
['小森林 冬春篇'],森淳一,9.0,2015,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
['被解救的姜戈'],昆汀·塔伦蒂诺,8.8,2012,热血沸腾，那个低俗、性感的无耻混蛋又来了。
['釜山行'],延尚昊,8.6,2016,揭露人性的丧尸题材力作。
['哪吒闹海'],王树忱,9.2,1979,
['神偷奶爸'],皮艾尔·柯芬,8.7,2010,Mr. I Don't Care其实也有Care的时候。
['九品芝麻官'],王晶,8.8,1994,
['花样年华'],王家卫,8.8,2000,
['萤火之森'],大森贵弘,8.8,2011,触不到的恋人。
['告白'],中岛哲也,8.8,2010,没有一人完全善，也没有一人完全恶。
['喜宴'],李安,9.0,1993,
['玛丽和马克思'],亚当·艾略特,9.0,2009,你是我最好的朋友，你是我唯一的朋友 。
['模仿游戏'],莫滕·泰杜姆,8.8,2014,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
['头号玩家'],史蒂文·斯皮尔伯格,8.6,2018,写给影迷，动漫迷和游戏迷的一封情书。
['大鱼'],蒂姆·波顿,8.8,2003,
['七武士'],黑泽明,9.3,1954,
['射雕英雄传之东成西就'],刘镇伟,8.7,1993,
['惊魂记'],阿尔弗雷德·希区柯克,9.0,1960,
['我是山姆'],杰茜·尼尔森,9.0,2001,
['血战钢锯岭'],梅尔·吉布森,8.7,2016,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
['阳光姐妹淘'],姜炯哲,8.8,2011,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
['你的名字。'],新海诚,8.5,2016,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
['恐怖直播'],金秉祐,8.7,2013,恐怖分子的“秋菊打官司”。
['黑客帝国3：矩阵革命'],拉娜·沃卓斯基,8.8,2003,
['电锯惊魂'],詹姆斯·温,8.7,2004,真相就在眼前。
